,kind,domain,votes,source,title,published_at,slug,currencies,id,url,created_at
0,news,u.today,"{'negative': 20, 'positive': 3, 'important': 8, 'liked': 6, 'disliked': 7, 'lol': 7, 'toxic': 0, 'saved': 1, 'comments': 7}","{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None}",$2.6 Billion Bug in Solana Program Library Disclosed: Details,2021-12-04T16:31:06Z,26-Billion-Bug-in-Solana-Program-Library-Disclosed-Details,"[{'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",13563922,https://cryptopanic.com/news/13563922/26-Billion-Bug-in-Solana-Program-Library-Disclosed-Details,2021-12-04T16:31:06Z
1,news,zycrypto.com,"{'negative': 1, 'positive': 21, 'important': 6, 'liked': 10, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 3, 'comments': 3}","{'title': 'ZyCrypto', 'region': 'en', 'domain': 'zycrypto.com', 'path': None}","El Salvador Increases Bitcoin Holding To Over $60 Million, Tronâ€™s Justin Sun Scoops More BTC In Solidarity",2021-12-04T15:36:28Z,El-Salvador-Increases-Bitcoin-Holding-To-Over-60-Million-Trons-Justin-Sun-Scoops-More-BTC-In-Solidarity,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'TRX', 'title': 'TRON', 'slug': 'tron', 'url': 'https://cryptopanic.com/news/tron/'}]",13563800,https://cryptopanic.com/news/13563800/El-Salvador-Increases-Bitcoin-Holding-To-Over-60-Million-Trons-Justin-Sun-Scoops-More-BTC-In-Solidarity,2021-12-04T15:36:28Z
2,news,u.today,"{'negative': 4, 'positive': 19, 'important': 3, 'liked': 14, 'disliked': 2, 'lol': 1, 'toxic': 0, 'saved': 1, 'comments': 9}","{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None}",Shiba Inu Remains Top Holding in Whale Wallets After Market Drops by 25%,2021-12-04T14:48:57Z,Shiba-Inu-Remains-Top-Holding-in-Whale-Wallets-After-Market-Drops-by-25,"[{'code': 'SHIB', 'title': 'Shiba Inu', 'slug': 'shiba-inu', 'url': 'https://cryptopanic.com/news/shiba-inu/'}]",13563653,https://cryptopanic.com/news/13563653/Shiba-Inu-Remains-Top-Holding-in-Whale-Wallets-After-Market-Drops-by-25,2021-12-04T14:48:57Z
3,news,zycrypto.com,"{'negative': 12, 'positive': 28, 'important': 8, 'liked': 22, 'disliked': 6, 'lol': 9, 'toxic': 0, 'saved': 7, 'comments': 36}","{'title': 'ZyCrypto', 'region': 'en', 'domain': 'zycrypto.com', 'path': None}",Three Reasons Why PlanB Is Still Bullish On Bitcoin Price Hitting $100k Despite Crashing Under $50k,2021-12-04T13:34:04Z,Three-Reasons-Why-PlanB-Is-Still-Bullish-On-Bitcoin-Price-Hitting-100k-Despite-Crashing-Under-50k,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",13563492,https://cryptopanic.com/news/13563492/Three-Reasons-Why-PlanB-Is-Still-Bullish-On-Bitcoin-Price-Hitting-100k-Despite-Crashing-Under-50k,2021-12-04T13:34:04Z
4,news,cryptoglobe.com,"{'negative': 0, 'positive': 10, 'important': 8, 'liked': 13, 'disliked': 0, 'lol': 2, 'toxic': 0, 'saved': 1, 'comments': 1}","{'title': 'CryptoGlobe', 'region': 'en', 'domain': 'cryptoglobe.com', 'path': None}",XRP Can Now Be Used To Pay Online at Croatiaâ€™s Largest Supermarket Chain,2021-12-04T12:57:58Z,XRP-Can-Now-Be-Used-To-Pay-Online-at-Croatias-Largest-Supermarket-Chain,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'XRP', 'title': 'XRP', 'slug': 'ripple', 'url': 'https://cryptopanic.com/news/ripple/'}, {'code': 'DAI', 'title': 'Dai', 'slug': 'dai', 'url': 'https://cryptopanic.com/news/dai/'}, {'code': 'XLM', 'title': 'Stellar', 'slug': 'stellar', 'url': 'https://cryptopanic.com/news/stellar/'}, {'code': 'EOS', 'title': 'EOS', 'slug': 'eos', 'url': 'https://cryptopanic.com/news/eos/'}]",13563432,https://cryptopanic.com/news/13563432/XRP-Can-Now-Be-Used-To-Pay-Online-at-Croatias-Largest-Supermarket-Chain,2021-12-04T12:57:58Z
5,news,ambcrypto.com,"{'negative': 7, 'positive': 22, 'important': 12, 'liked': 15, 'disliked': 3, 'lol': 1, 'toxic': 0, 'saved': 3, 'comments': 15}","{'title': 'AMBCrypto', 'region': 'en', 'domain': 'ambcrypto.com', 'path': None}","Bitcoin, Ethereum face largest correction since 19 May; is it time to buy the dip",2021-12-04T12:30:05Z,Bitcoin-Ethereum-face-largest-correction-since-19-May-is-it-time-to-buy-the-dip,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",13563358,https://cryptopanic.com/news/13563358/Bitcoin-Ethereum-face-largest-correction-since-19-May-is-it-time-to-buy-the-dip,2021-12-04T12:30:05Z
6,news,beincrypto.com,"{'negative': 14, 'positive': 11, 'important': 11, 'liked': 14, 'disliked': 2, 'lol': 0, 'toxic': 0, 'saved': 4, 'comments': 17}","{'title': 'BeInCrypto', 'region': 'en', 'domain': 'beincrypto.com', 'path': None}",Is BTCâ€™s Drop Due to Subtle Market Manipulation?,2021-12-04T12:29:56Z,Is-BTCs-Drop-Due-to-Subtle-Market-Manipulation,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",13563338,https://cryptopanic.com/news/13563338/Is-BTCs-Drop-Due-to-Subtle-Market-Manipulation,2021-12-04T12:29:56Z
7,news,theblockcrypto.com,"{'negative': 41, 'positive': 5, 'important': 26, 'liked': 14, 'disliked': 16, 'lol': 14, 'toxic': 0, 'saved': 5, 'comments': 45}","{'title': 'The Block', 'region': 'en', 'domain': 'theblockcrypto.com', 'path': None}",Solana library bug could have seen attackers stealing $27 million an hour,2021-12-04T11:53:47Z,Solana-library-bug-could-have-seen-attackers-stealing-27-million-an-hour,"[{'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",13563294,https://cryptopanic.com/news/13563294/Solana-library-bug-could-have-seen-attackers-stealing-27-million-an-hour,2021-12-04T11:53:47Z
8,news,cryptopotato.com,"{'negative': 3, 'positive': 32, 'important': 16, 'liked': 23, 'disliked': 1, 'lol': 2, 'toxic': 0, 'saved': 3, 'comments': 12}","{'title': 'Feed - Cryptopotato.Com', 'region': 'en', 'domain': 'cryptopotato.com', 'path': None}",El Salvador Buys the Dip: Purchased Another 150 BTC Worth $7.3 Million,2021-12-04T10:25:45Z,El-Salvador-Buys-the-Dip-Purchased-Another-150-BTC-Worth-73-Million,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",13563131,https://cryptopanic.com/news/13563131/El-Salvador-Buys-the-Dip-Purchased-Another-150-BTC-Worth-73-Million,2021-12-04T10:25:45Z
9,news,dailyhodl.com,"{'negative': 0, 'positive': 10, 'important': 4, 'liked': 7, 'disliked': 3, 'lol': 3, 'toxic': 0, 'saved': 3, 'comments': 5}","{'title': 'The Daily Hodl', 'region': 'en', 'domain': 'dailyhodl.com', 'path': None}","Whales Are Actively Accumulating Three Altcoins â€“ And Selling Two Others, According to Crypto Analytics Firm Santiment",2021-12-04T10:15:59Z,Whales-Are-Actively-Accumulating-Three-Altcoins-And-Selling-Two-Others-According-to-Crypto-Analytics-Firm-Santiment,,13563137,https://cryptopanic.com/news/13563137/Whales-Are-Actively-Accumulating-Three-Altcoins-And-Selling-Two-Others-According-to-Crypto-Analytics-Firm-Santiment,2021-12-04T10:15:59Z
10,news,finbold.com,"{'negative': 4, 'positive': 31, 'important': 16, 'liked': 29, 'disliked': 2, 'lol': 2, 'toxic': 0, 'saved': 1, 'comments': 8}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",Celsius CEO projects Bitcoin to hit $140K before Q2 2022 despite sharp slump below $50k,2021-12-04T09:35:12Z,Celsius-CEO-projects-Bitcoin-to-hit-140K-before-Q2-2022-despite-sharp-slump-below-50k,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",13563043,https://cryptopanic.com/news/13563043/Celsius-CEO-projects-Bitcoin-to-hit-140K-before-Q2-2022-despite-sharp-slump-below-50k,2021-12-04T09:35:12Z
11,news,finbold.com,"{'negative': 10, 'positive': 13, 'important': 6, 'liked': 8, 'disliked': 3, 'lol': 3, 'toxic': 0, 'saved': 3, 'comments': 24}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",Bitcoin records a massive 16% drop as $400 billion leaves crypto market cap in a day,2021-12-04T09:34:46Z,Bitcoin-records-a-massive-16-drop-as-400-billion-leaves-crypto-market-cap-in-a-day,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",13563044,https://cryptopanic.com/news/13563044/Bitcoin-records-a-massive-16-drop-as-400-billion-leaves-crypto-market-cap-in-a-day,2021-12-04T09:34:46Z
12,news,cointelegraph.com,"{'negative': 0, 'positive': 4, 'important': 3, 'liked': 3, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 0}","{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None}",FTX releases crypto regulation proposals before US congressional hearing,2021-12-04T08:46:05Z,FTX-releases-crypto-regulation-proposals-before-US-congressional-hearing,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",13562626,https://cryptopanic.com/news/13562626/FTX-releases-crypto-regulation-proposals-before-US-congressional-hearing,2021-12-04T08:46:05Z
13,news,dailyhodl.com,"{'negative': 7, 'positive': 25, 'important': 8, 'liked': 10, 'disliked': 3, 'lol': 4, 'toxic': 0, 'saved': 2, 'comments': 30}","{'title': 'The Daily Hodl', 'region': 'en', 'domain': 'dailyhodl.com', 'path': None}","Epic Crash Hits Crypto Markets As Bitcoin Plummets to $43,500 in Matter of Minutes",2021-12-04T08:04:19Z,Epic-Crash-Hits-Crypto-Markets-As-Bitcoin-Plummets-to-43500-in-Matter-of-Minutes,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",13561969,https://cryptopanic.com/news/13561969/Epic-Crash-Hits-Crypto-Markets-As-Bitcoin-Plummets-to-43500-in-Matter-of-Minutes,2021-12-04T08:04:19Z
14,news,cryptopotato.com,"{'negative': 7, 'positive': 11, 'important': 4, 'liked': 5, 'disliked': 2, 'lol': 2, 'toxic': 0, 'saved': 0, 'comments': 7}","{'title': 'Feed - Cryptopotato.Com', 'region': 'en', 'domain': 'cryptopotato.com', 'path': None}","Bloodbath: Bitcoin Crashed to $42K, Altcoins See Double-Digit Slumps (Market Watch)",2021-12-04T08:02:59Z,Bloodbath-Bitcoin-Crashed-to-42K-Altcoins-See-Double-Digit-Slumps-Market-Watch,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",13561221,https://cryptopanic.com/news/13561221/Bloodbath-Bitcoin-Crashed-to-42K-Altcoins-See-Double-Digit-Slumps-Market-Watch,2021-12-04T08:02:59Z
15,news,usethebitcoin.com,"{'negative': 4, 'positive': 47, 'important': 22, 'liked': 39, 'disliked': 1, 'lol': 2, 'toxic': 0, 'saved': 1, 'comments': 6}","{'title': 'Use The Bitcoin', 'region': 'en', 'domain': 'usethebitcoin.com', 'path': None}","El Salvador Purchases 150 More Bitcoin As BTC Falls Below $47,000",2021-12-04T07:40:05Z,El-Salvador-Purchases-150-More-Bitcoin-As-BTC-Falls-Below-47000,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",13560186,https://cryptopanic.com/news/13560186/El-Salvador-Purchases-150-More-Bitcoin-As-BTC-Falls-Below-47000,2021-12-04T07:40:05Z
16,news,cointelegraph.com,"{'negative': 1, 'positive': 66, 'important': 34, 'liked': 74, 'disliked': 0, 'lol': 4, 'toxic': 0, 'saved': 8, 'comments': 17}","{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None}",El Salvador stacks 150 Bitcoin after BTC price crashes below $50k,2021-12-04T06:56:03Z,El-Salvador-stacks-150-Bitcoin-after-BTC-price-crashes-below-50k,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'STX', 'title': 'Stacks', 'slug': 'blockstack', 'url': 'https://cryptopanic.com/news/blockstack/'}]",13558616,https://cryptopanic.com/news/13558616/El-Salvador-stacks-150-Bitcoin-after-BTC-price-crashes-below-50k,2021-12-04T06:56:03Z
17,news,cointelegraph.com,"{'negative': 21, 'positive': 58, 'important': 27, 'liked': 35, 'disliked': 7, 'lol': 12, 'toxic': 0, 'saved': 4, 'comments': 49}","{'title': 'CoinTelegraph', 'region': 'en', 'domain': 'cointelegraph.com', 'path': None}",Bitcoin tumbles below $47K wiping out October gains â€” Bear market begins?,2021-12-04T05:47:45Z,Bitcoin-tumbles-below-47K-wiping-out-October-gains-Bear-market-begins,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",13556155,https://cryptopanic.com/news/13556155/Bitcoin-tumbles-below-47K-wiping-out-October-gains-Bear-market-begins,2021-12-04T05:47:45Z
18,news,@CardanoStiftung,"{'negative': 2, 'positive': 9, 'important': 9, 'liked': 10, 'disliked': 1, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 0}","{'title': 'Cardano Twitter', 'region': 'en', 'domain': 'twitter.com', 'path': '@cardanostiftung'}",We have an incredible #CardanoCommunity!ðŸ¤—,2021-12-04T03:02:23Z,We-have-an-incredible-CardanoCommunity,"[{'code': 'ADA', 'title': 'Cardano', 'slug': 'cardano', 'url': 'https://cryptopanic.com/news/cardano/'}, {'code': 'ADA', 'title': 'Binance-Peg Cardano', 'slug': 'binance-peg-cardano', 'url': 'https://cryptopanic.com/news/binance-peg-cardano/'}]",13555240,https://cryptopanic.com/news/13555240/We-have-an-incredible-CardanoCommunity,2021-12-04T03:02:23Z
19,news,forbes.com,"{'negative': 13, 'positive': 28, 'important': 9, 'liked': 16, 'disliked': 3, 'lol': 2, 'toxic': 0, 'saved': 1, 'comments': 25}","{'title': 'Forbes', 'region': 'en', 'domain': 'forbes.com', 'path': None}",Bitcoin Prices Fell To Almost 2-Month Lowâ€”What Should Traders Expect Next?,2021-12-04T02:23:11Z,Bitcoin-Prices-Fell-To-Almost-2-Month-LowWhat-Should-Traders-Expect-Next,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",13555191,https://cryptopanic.com/news/13555191/Bitcoin-Prices-Fell-To-Almost-2-Month-LowWhat-Should-Traders-Expect-Next,2021-12-04T02:23:11Z
